cod_comercio,sk_cliente,num_documento,nbr_comercio,nbr_direccion_comercio,Departamento,nbr_provincia_hexagono,nbr_distrito_hexagono,num_latitud,num_longitud,gpvabo,ntrx,grp_economico,gpv,gpv_lm,gpv_l2m,gpv_l3m,gpv_l4m,gpv_l5m,gpv_l6m,kam_final_reasignado,tipo_cartera_final,etiqueta,nbr_mcc,telefono
100000000136915,e69e4cfd8cb5c351c17d4ccdea57e7a969c431357a2ef811207d107f4c474c22,20379719440,NOBILITY GRAND HOTEL  ANGAMOS,"JR. PARURO 878, LIMA 15001, PERU",LIMA,LIMA,LIMA,-12.0522029,-77.02513979999999,106751.18,258.0,NOBILITY HOTELS,101179.274,120403.6,82781.61,38709.46,34546.5,1006341.6646,1270478.678,YOSELIN TORNERO,KAM BDN,ESTABLE,OTRO SERVICIOS PROFESIONALES,999999999
100000000053956,fd17797c26ff07d2a47b7316f478bd29dcc595d6e62a2d3173d93cb88000fca6,20600857933,REST. XIANG WEI LOU,"AV BLVRD DE SURCO 954, SAN BORJA 15037, PERU",LIMA,LIMA,SAN BORJA,-12.1017949,-76.99003119999999,2878.0,86.0,CHIFA KIN FU,165818.3,229835.91,198664.33,188754.894,165197.974,168385.8,192235.86,VICTOR ALVARADO,KAM PYME,ESTABLE,RESTAURANTES Y VIDA NOCTURNA,943511110
100000000122507,ca006895673c76d94af1b68308373269dd19cd7a0400bb6c82f1e0569aaa249c,20521617544,CITASONLINE,"AV. ALFREDO BENAVIDES 6, SANTIAGO DE SURCO 15039, PERU",LIMA,LIMA,SANTIAGO DE SURCO,-12.1312595,-76.9780463,5160.0,57.0,CITASONLINE,141717.4,120442.233,125951.591,126337.348,122784.1416,142594.715,128496.2182,VICTOR ALVARADO,KAM PYME,ESTABLE,DENTISTAS Y ORTODONTISTAS,945830443
100000000136428,e522209f65d08bdec627b1f34b77b55131d7e3d78f7d65cdec01aa4cf6ec242d,20601342872,FOREPLAY LINKS,"AV. LOS CONQUISTADORES 946, SAN ISIDRO 15073, PERU",LIMA,LIMA,SAN ISIDRO,-12.1058347,-77.037306,0.0,0.0,CONCEPT STORE,19864.35,30468.41,23562.23,19701.68,23941.86,28197.55,25079.74,LORENA RODAS,KAM PYME,ESTABLE,"SERVICIOS DE ADMINISTRACIÓN, CONSULTORÍA Y RELACIONES PÚBLICAS",971310356
100000000045419,81046204f075c716f5cd3d9a25238f614538514b4d90ac79c187317242cedd75,20608402251,PLAZA CHINA,"SANTIAGO DE HUAMÁN, VÍCTOR LARCO HERRERA 13009, PERU",LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,-8.1385046,-79.0397862,0.0,0.0,PLAZA CHINA,278266.62,420514.29,312615.97,271279.07,260399.07,301672.5,171039.91,SALOMÉ PRO,KAM PYME,TOP 10,"MINIMARKETS, BODEGAS, SUPERMERCADOS",995588888
100000000132948,17fd9f9f5121c4a935e08641d2eab3bfe35a0bcd8f4921001e0aade044c22b06,20605044591,LLAMAFOOD,"AV. PASEO DE LA REPÚBLICA 5728, MIRAFLORES 15074, PERU",LIMA,LIMA,MIRAFLORES,-12.1226687,-77.0253096,16290.63,300.0,LLAMAFOOD,93444.51,107752.41,91796.48,79194.69,78901.17,80999.07,87604.53,CYNTHIA CARRION,KAM PYME,CRECIMIENTO,OTRAS TIENDAS DE COMIDA,993923914
100000000122578,b08608eab6df9a3a354877b4e257d2470e8ba5cd523f6f420f549c5434730903,20601107571,DRA MARIAN POS,"DPTO 203, AV. PASEO DE LA REPÚBLICA 7921, SANTIAGO DE SURCO 15049, PERU",LIMA,LIMA,SANTIAGO DE SURCO,-12.1431155,-77.0002981,0.0,0.0,DRA MARIAN POS,144582.74,154994.8,102334.8,76667.9,47946.95,90217.9,87093.18,DANIEL LOVON,KAM PYME,CRECIMIENTO,TIENDAS MISCELÁNEAS DE ROPA Y ACCESORIOS,948026430
100000000129113,cf0a7891f6a2bd82d19e5eb716bb30b948d9e362ad1917ea203de42f84fb18aa,10181669182,FARMACIA FARMAMARKET,"AV. EL GOLF 360, VÍCTOR LARCO HERRERA 13009, PERU",LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,-8.1369651,-79.0350587,0.0,0.0,FARMACIA FARMAMARKET,30827.9,44417.0,34149.8,39607.5,37164.8,72469.7,92522.08,LUIS DE LUCIO,KAM PYME,ESTABLE,FARMACÉUTICOS Y FARMACIAS (DROGUERIAS Y PERFUMERIAS),934391474
100000000137229,a8f692c37e67714cb1fc7fd4ac01a591b48ea2323214aa2922b419edfaabfad4,20603595743,89ACEBICHADOS,"LA CONFRATERNIDAD, LOS OLIVOS 15307, PERU",LIMA,LIMA,LOS OLIVOS,-11.93377,-77.07455,0.0,0.0,89ACEBICHADOS,117044.55,142192.83,45524.1,0.0,0.0,0.0,0.0,WALTHER FAJARDO,KAM PYME,ESTABLE,RESTAURANTES Y VIDA NOCTURNA,957380113
100000000032000,f43ef7d6c5dd073b26af0dd2c513c4255841e79bc25f8c5446aa1ea15192173d,20606586231,MINIMARKET GIOVANNA,"FLORA TRISTAN 820, LIMA 15818, PERU",LIMA,LIMA,VILLA MARIA DEL TRIUNFO,-12.1899938,-76.92206759999999,401.2,22.0,MINIMARKET GIOVANNA,9324.1,14824.8,11726.3,11060.4,10697.7,10156.822,20147.1,ANABEL SANTAMARIA,KAM BDN,ESTABLE,"MINIMARKETS, BODEGAS, SUPERMERCADOS",931408121
100000000105510,d38f492ef48d402d73d5224e7cbeca63aa50d0cb33cafbf572e87ce7b5bf42bf,20546814379,AMANTANI PUEBLO SAC,"DPTO 109, AV. CIRCUNVALACIÓN DEL GOLF LOS INCAS 488, SANTIAGO DE SURCO 15023, PERU",LIMA,LIMA,SANTIAGO DE SURCO,-12.0765726,-76.95757689999999,1904.2,6.0,AMANTANI PUEBLO SAC,24156.87,23042.42,42847.632,27467.75,43714.877,51852.6,43695.53,GUILLERMO MERINO,KAM BDN,ESTABLE,TIENDAS MINORISTAS MISCELÁNEAS Y ESPECIALIZADAS,972286062
100000000136485,4cd7abbf82a52e14a7bde7f80404d87760790f85ae16ea3119679ae2a14f0a4b,20608507494,LA MORA WEB,"R2X7+27V, JR. FRANCISCO JAVIER MARIÁTEGUI, SANTIAGO DE SURCO 15056, PERU",LIMA,LIMA,SANTIAGO DE SURCO,-12.1523997,-76.9868303,32161.5,547.0,LA MORA,26283.6,75572.66,41983.9,40976.1,32783.1,33871.01,34611.2,DANIEL LOVON,KAM PYME,ESTABLE,PASTELERÍAS,999999999
100000000044920,d5a9a7a63fb3bd8ce78bbf59f006299bcc104ff27bad2fe79ff19bac262067a0,20611599537,CORNER MARINO,"AV. MILITAR 1799, LINCE 15046, PERU",LIMA,LIMA,LINCE,-12.081912,-77.0316299,30814.1,298.0,CORNER MARINO SAC,219158.95,258434.55,208424.2,165112.75,153721.4,162459.65,169506.86,GARY AQUINO,KAM PYME,ESTABLE,RESTAURANTES Y VIDA NOCTURNA,999968205
100000000105024,1b0bf4881b143cad399c8f53df625b4f18c7d0c21f966299bdf6036953028c97,20544376331,MACCHIA,"AV. ALFREDO BENAVIDES 2059, LIMA 15048, PERU",LIMA,LIMA,MIRAFLORES,-12.1272557,-77.01087460000001,1118.0,11.0,MACCHIA CAVENECIA,115013.91,150325.05,117310.22,117866.02,122905.03,23873.85,818.0,AARÓN GARCÍA,KAM PYME,CRECIMIENTO,RESTAURANTES Y VIDA NOCTURNA,984179425
100000000092402,309aa645eff9413b82c40830ca5952974f06cbcd20bc9292a991240bd72583ef,20600753976,GQR AUTOPARTES SAC,"AV. IQUITOS 257, LA VICTORIA 15033, PERU",LIMA,LIMA,LA VICTORIA,-12.0613794,-77.0309341,48633.0,214.0,CIA IMPORT DE REPUESTOS KONIN SAC,103870.2,100073.85,92963.96,117717.95,179571.94,163255.58,174625.27,YOSELIN TORNERO,KAM BDN,ESTABLE,TIENDAS DE PARTES Y ACCESORIOS AUTOMOTRICES.,966376188
100000000030626,f6217772e4bc1e8af489048ffda387cf0909b89eff925dae36ecab788b8129b3,10402641610,MINIMARKET GIOVANNA ,"SAN FRANCISCO DE TABLADA DE LURIN ZONA ANTIGUA, VILLA MARÍA DEL TRIUNFO, PERU",LIMA,LIMA,VILLA MARIA DEL TRIUNFO,-12.1953284,-76.9268541,515.0,35.0,MINIMARKET GIOVANNA,7753.6694,9961.74,9977.5,8459.5,7247.9,8041.8,9143.7,ANABEL SANTAMARIA,KAM BDN,ESTABLE,"MINIMARKETS, BODEGAS, SUPERMERCADOS",931408121
100000000120825,31480b36a6f5985a272eb91f6492d4c789ac79437c002071a5b8cb133cd08313,10429821865,HOSTING KAM,"JRON ECONOMISTAS MZ K15 LTE 43, SAN JUAN DE LURIGANCHO",LIMA,LIMA,SAN JUAN DE LURIGANCHO,-11.9638144,-76.9894212,0.0,0.0,HOSTING,0.0,0.0,0.0,0.0,0.0,0.0,9.0,AARÓN GARCÍA,KAM PYME,ESTABLE,OTRO SERVICIOS PROFESIONALES,999999999
100000000146226,5c615a36143cb04012e490c796f02130b9926a68b9f3bbef28fc636cbb0735a9,20601712726,PORTOBELLO PASTAS CHICKEN GRILL,"AV. PETIT THOUARS 1107, LIMA 15046, PERU",LIMA,LIMA,LIMA,-12.075635,-77.03451299999999,43000.8,969.0,PORTOBELLO PASTA GRILL,59081.47,193236.01,168002.15,36387.88,0.0,0.0,0.0,JENIFER LLAMPASI,KAM PYME,ESTABLE,RESTAURANTES Y VIDA NOCTURNA,999999999
100000000108694,16311bc021721e60f6e1b74d77814707565f62e7bc93c18aec9d89af5fd69218,20607512079,COMERCIAL FERNAR,"ATE, PERU",LIMA,LIMA,ATE,-12.023711,-76.8940169,0.0,0.0,AVALANCH,5706.8,27803.2,8587.3,5765.6,8163.4,6144.5,10182.1,RODRIGO RIVERA,KAM BDN,TOP 10,TIENDAS DE ROPA FAMILIAR,944475859
100000000096532,8eee969f1ae0822e3bb50097bf9618c7966cfa99e06c1a0bcceca7bfc5aa6ac6,20101341616,GERMANIA AUTOMOTRIZ S.A.C. - SAN LUIS,"AV. ANGAMOS ESTE 1869, SURQUILLO 15036, PERU",LIMA,LIMA,SAN BORJA,-12.1121255,-77.010432,32799.15,27.0,GERMANIA AUTOMOTRIZ S.A.C. - SURQUILLO,3183.9644,0.0,0.0,0.0,0.0,126.77,3616.642,ANABEL SANTAMARIA,KAM BDN,ESTABLE,"COMERCIANTES DE AUTOS Y CAMIONES (NUEVOS Y USADOS) VENTAS, SERVICIO, REPARACIONES, PARTES Y ARRENDAMIENTO.",968206067
100000000118789,770e2d76845e6c7877bb3ab7563202147a9f970de4cad9f6e80f31318e164d74,20601363861,SOFT,"AV EL POLO 670, EL POLO 1, SANTIAGO DE SURCO 15023, PERU",LIMA,LIMA,SANTIAGO DE SURCO,-12.1013902,-76.970967,286423.22,522.0,SOFT,121877.323,234248.57,229045.74,186879.1,191072.33,230442.47,210374.2,LORENA RODAS,KAM PYME,ESTABLE,ALMACENES DE SUMINISTROS PARA EL HOGAR,946274580
100000000052740,819d1d7501798f6fe6b3f74b8b37d2bd4bcfb0ef44ebbaa2b0fd6b4093ae9aaf,10072528714,LAS RUEDAS DE PACHACAMAC,"J LOTE, PACHACAMAC 115, LIMA 15332, PERU",LIMA,LIMA,INDEPENDENCIA,-11.9842645,-77.0545873,1086.8,6.0,LAS RUEDAS DE PACHACAMAC,22709.5,21746.9,17665.0,25477.98,32533.0,51736.2,52096.4,ANABEL SANTAMARIA,KAM BDN,ESTABLE,RESTAURANTES Y VIDA NOCTURNA,999215047
100000000153265,fd4ca35941b16b042b4212c1e8d88f03882cf5d97befb6d53e61e7582ccff20a,20522172023,AUTOTAXI SATELITAL CORP,"AV. ELMER FAUCETT 2880, CALLAO 07041, PERU",CALLAO,CALLAO,CALLAO,-12.0286667,-77.10220799999999,0.0,0.0,SATELITAL,263654.54,348187.05,455372.37,473135.27,546214.97,601934.09,585258.0,ANABEL SANTAMARIA,KAM BDN,ESTABLE,"SERVICIOS DE TELECOMUNICACIÓN INCLUYENDO LLAMADAS LOCALES Y DE LARGA DISTANCIA, LLAMADAS CON TARJETA DE CRÉDITO A TRAVÉS DE TELÉFONOS CON LECTORA DE BANDA MAGNÉTICA Y SERVICIOS DE FAX.",999999999
100000000055039,029c00c8e56867ac2089d6b5777d11eefc7f6356e03b1b6ba968df2e86f08d10,10703856905,CARNICERIA DEL MOLINO,"30, AV LA ENCALADA 704, SANTIAGO DE SURCO 15023, PERU",LIMA,LIMA,SANTIAGO DE SURCO,-12.1087331,-76.9721222,101978.58,1325.0,CARNICERIA DEL MOLINO,101682.66,148540.284,125294.61,135145.0,135666.95,134959.8341,129734.62,LIZET GUEVARA,KAM BDN,ESTABLE,"MERCADOS Y MINORISTAS, ALMACENAJE REFRIGERADO Y PRODUCTOS A GRANEL DE CARNE.",998331438
100000000105515,c1e422739ae734ca7088dabc567ef5dc4d3272c42f71a335988bdae8be4d434f,20555887672,EL AUTENTICO SABOR TRUJILLANO S.A.C.,"AV. GRAL. EUGENIO GARZÓN 1465, JESÚS MARÍA 15072, PERU",LIMA,LIMA,JESUS MARIA,-12.0746779,-77.051486,26058.94,286.0,EL AUTENTICO SABOR TRUJILLANO S.A.C.,107796.0,134795.0,114684.0,87724.2,99105.8,99682.3,113197.8,LORENA RODAS,KAM PYME,ESTABLE,PASTELERÍAS,999111896
100000000105142,95b530df6cc413fd28e52eb538f2329841914a31b1bd77ec03a21d15940a2242,20602262597,MINIMAL,AV. JORGE VANDERGHEN 355 102 CHACARILLA SANTA CRUZ SAN,LIMA,LIMA,MIRAFLORES,-12.1102994,-77.04039745,9715.7,72.0,MINIMAL,45002.0,45928.0,58413.0,22416.0,27309.6,39579.0,56599.0,DANIEL LOVON,KAM PYME,ESTABLE,TIENDAS DE ROPA PARA DAMAS,957608661
79304,68652b8425d5b5e3e7701aa0a762ea2044a513a084733491ba8f78679d680b4a,20481253013,MARINIS AV LARCO 1039 URB SAN ANDRES V ETAPA,"AV. LARCO, VÍCTOR LARCO HERRERA 13009, PERU",LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,-8.1348585,-79.0480572,0.0,0.0,MARINIS,25314.0,42538.9,35698.2,38218.9,31831.3,31654.02,35925.38,LUIS DE LUCIO,KAM PYME,ESTABLE,PASTELERÍAS,951423209
100000000135618,636cdc8756ead037dca2a2eeae855fed6c84d41acd76bcf4981622bec7533d40,20382748566,FASTCO,"OFICINA 2601, AV. JAVIER PRADO ESTE 492, SAN ISIDRO 15046, PERU",LIMA,LIMA,LINCE,-12.0920852,-77.0284248,0.0,0.0,INTERSEGURO,4124048.6128,5045286.857,5071885.3348,5275344.6715,5434281.9104,5386594.4701,5405288.7843,ARIANA HUERTA,KAM BE,TOP 10,MERCADEO DIRECTO - SERVICIOS DE SEGUROS,999999999
100000000088469,ff1d108d60f87d018700aaee5039d5d87ff21b8734a2dbf100c4892b5af93b60,20545347793,EUROPA SERVICE S.A.C.,"AV. SANTIAGO DE SURCO 3706, SANTIAGO DE SURCO 15049, PERU",LIMA,LIMA,SANTIAGO DE SURCO,-12.1356891,-76.99669659999999,46820.1,32.0,EUROPA SERVICE S.A.C.,84502.397,62526.4039,89554.4513,63216.3387,34673.5039,55189.9491,72580.3731,MONICA VALENZUELA,KAM PYME,ESTABLE,TIENDAS DE PARTES Y ACCESORIOS AUTOMOTRICES.,940143977
100000000093005,43feb7229d701bbe96301c60fa9c94e42163177cf20559b6722ba71ab81a8266,20549145397,SOPORTE MULTIMEDIA E.I.R.L.,"AV. PETIT THOUARS 5356, MIRAFLORES 15074, PERU",LIMA,LIMA,MIRAFLORES,-12.1163696,-77.0285083,43974.0,18.0,SOPORTE MULTIMEDIA,55197.0,180267.564,33155.02,53210.99,29135.0,30202.0,32554.99,LORENA RODAS,KAM PYME,ESTABLE,"MANTENIMIENTO, REPARACIÓN Y SERVICIOS INFORMÁTICOS (NO CLASIFICADOS EN OTRO MCC)",995038450
100000000108136,d10c7a6ba7d352518c582d87b490516c9516e19cba8181dda5241feb2e3f2dec,20545860601,SABORES PERUANOS - LA MOLINA,"AV. JAVIER PRADO ESTE 6400, LIMA 15024, PERU",LIMA,LIMA,LA MOLINA,-12.0693718,-76.9497457,29665.15,201.0,SABORES PERUANOS,28513.11,41589.45,33232.9,29292.54,29382.21,37657.1,22666.7,LORENA RODAS,KAM PYME,ESTABLE,PASTELERÍAS,949735969
100000000003222,33e2928c4b039aa263ae31eadf08d13f0fcde8b6d9d6a91571bc23e988f606cb,10419860552,SALUD NATURAL,"AV. VICTOR RAUL HAYA DE LA TORRE (JOSÉ PARDO), 738, CHIMBOTE 02803, PERU",ANCASH,SANTA,CHIMBOTE,-9.0764563,-78.5908906,1559.064,27.0,SALUD NATURAL,4097.0,3243.0,3423.0,6543.0,4557.0,4903.0,4192.0,JORGE RAMOS,KAM PYME,ESTABLE,OTRAS TIENDAS DE COMIDA,916665747
100000000101481,2016f9c99ebafddeceb1b685bf0355dd9a0c900279120ce9a0ba9177d742f12c,20605500936,SUPER JIMMYS CAMINO DEL INCA,"PISO 1, AV. CAMINOS DEL INCA 3008, SANTIAGO DE SURCO 15039, PERU",LIMA,LIMA,SANTIAGO DE SURCO,-12.1412315,-76.9850593,3753.86,110.0,SUPER JIMMYS SAN ROQUE,15853.84,34766.24,28224.9,25138.35,18812.17,30525.31,37651.08,LUIS PEREZ,KAM BDN,ESTABLE,RESTAURANTES DE COMIDA RAPIDA,983320328
100000000108182,f0a03f5e744d70b98ddd80701c9c17f11645694cd7e27d0ef3b2b75572d9f2cc,20480564660,LA TABERNA DISTRIBUCIONES - LATINA,"MANUEL SEOANE, PIURA 20007, PERU",PIURA,PIURA,PIURA,-5.192246,-80.6494183,0.0,0.0,LA TABERNA DISTRIBUCIONES S.A.C,84820.87,321286.11,153042.74,112132.43,88871.03,103111.21,135007.67,ARIANA HUERTA,KAM BE,ESTABLE,PRODUCTOS PERECEDEROS (NO CLASIFICADOS EN OTRA MCC),920027526
100000000118800,d594aa3a5e653f8e059a2bc5a24dba349a56df159740630df3c1ab682c20dcc6,20601805082,CATA LINK,"OF. 502, AV. EL DERBY 254, SANTIAGO DE SURCO 15023, PERU",LIMA,LIMA,SANTIAGO DE SURCO,-12.0977116,-76.9726771,6000.0,12.0,CATA RESTOBAR,147768.53,154050.6053,143237.78,123569.21,144215.2,120948.04,159809.36,AARÓN GARCÍA,KAM PYME,CRECIMIENTO,RESTAURANTES Y VIDA NOCTURNA,914434114
100000000119667,eba3e3fe14e073d776fa386a8817135fbd02d62a112d1287f08b3af46991c9a5,10088775991,MINIMARKET PILAR,"AV. JAVIER PRADO ESTE, LA MOLINA, PERU",LIMA,LIMA,LA MOLINA,-12.0714471,-76.956626,36010.32,1651.0,MINIMARKET PILAR,5405.82,55390.899,55876.33,57875.19,52571.3,55371.21,42030.8,GUSTAVO MENDOCILLA,KAM PYME,ESTABLE,"MINIMARKETS, BODEGAS, SUPERMERCADOS",944557906
100000000136059,fe27ef75db5cd6c88b75f551306667a10c96ea0915e952a85226804373361433,20602252656,TIENDA AGUAS VERDES,"MIGUEL DASSO 406, LIMA 15034, PERU",LIMA,LIMA,LA VICTORIA,-12.0773914,-77.01847409999999,21037.5,84.0,HIPERATOS,142711.64,610844.34,296535.66,192816.26,242084.35,260253.42,259794.76,YOSELIN TORNERO,KAM BDN,ESTABLE,CALZADO COMERCIAL,938884347
100000000142273,5831f630653199bb16967e9a822eadb48a7c99e7bdffc211044b56e600aced9f,20602845941,TEKOS,"PISO 2, AV. GRAN CHIMU 265, SAN JUAN DE LURIGANCHO 15401, PERU",LIMA,LIMA,SAN JUAN DE LURIGANCHO,-12.0275727,-77.0091968,0.0,0.0,TERREX A INVERSIONES KLMA EIRL,14438.7,35364.83,15977.3,14924.27,16266.79,9611.0,15072.3,LORENA RODAS,KAM PYME,ESTABLE,CALZADO COMERCIAL,989594767
100000000048747,a5fa70145cf2d220c2e3be726c1aa91dfa9c5e2ca600cb603367ca1efe900d67,20612745260,IMPORTADORA PANDA,"IV CENTENARIO, AREQUIPA 04001, PERU",AREQUIPA,AREQUIPA,AREQUIPA,-16.4076792,-71.5345603,32202.133,1562.0,IMPORTADORA PANDA,30113.67,50669.75,26945.0,17796.24,34392.9,28795.7,26718.55,VIANUSSA CANO,KAM PYME,ESTABLE,ELECTRODOMÉSTICOS,981333284
100000000051580,75c411e913cbbb718e7cd8095913b86792007c1b95c0404b4fc29332566a3160,15516795040,CHIFA WHEN WHA XU,"AV. JUAN VELASCO ALVARADO 709, VILLA EL SALVADOR 15831, PERU",LIMA,LIMA,VILLA EL SALVADOR,-12.207152,-76.9389413,55431.0,745.0,CHIFA WHEN WHA,38267.9,47502.5,40637.5,39490.0,39362.7,107122.5,100261.044,CYNTHIA CARRION,KAM PYME,ESTABLE,RESTAURANTES Y VIDA NOCTURNA,989692968
100000000092863,d3a9a46a84d052fa338553f91e70fb6a772933caf568e2383708dd9a054a11b7,20611217570,CENTRO MÉDICO CALLAO,"PISO 1291, LOS TOPACIOS 1291, BELLAVISTA 07011, PERU",CALLAO,CALLAO,BELLAVISTA,-12.0628479,-77.1220601,0.0,0.0,CENTRO MÉDICO CALLAO,57308.0,50533.275,73302.0,71794.0,74901.0,69577.0,58266.2,LIZET GUEVARA,KAM BDN,ESTABLE,HOSPITALES (CLINICAS Y CENTROS MEDICOS),902208605
